Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Cristiano Ronaldo,94,5,4,90,93,82,90,33,80,468,2265,LW,H\L,Real Madrid,Portugal,LaLiga Santander,1328286
Lionel Messi,93,4,4,89,90,86,95,26,61,447,2196,RW,M\M,FC Barcelona,Argentina,LaLiga Santander,898250
Manuel Neuer,92,1,4,91,90,95,89,58,91,514,1107,GK,M\M,FC Bayern München,Germany,Bundesliga,148000
Luis Suárez,92,4,4,82,90,79,86,42,81,460,2221,ST,H\M,FC Barcelona,Uruguay,LaLiga Santander,405286
Neymar,92,5,5,92,84,79,94,30,60,439,2133,LW,H\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,564857
Robert Lewandowski,91,3,4,81,88,75,86,38,82,450,2179,ST,H\M,FC Bayern München,Poland,Bundesliga,232500
Sergio Ramos,90,3,3,76,63,71,72,88,83,453,2187,CB,H\M,Real Madrid,Spain,LaLiga Santander,190250
Gonzalo Higuaín,90,3,4,79,87,70,83,25,74,418,2008,ST,H\M,Juventus,Argentina,Calcio A,80625
Toni Kroos,90,3,5,50,81,88,81,73,70,443,2188,CM,M\M,Real Madrid,Germany,LaLiga Santander,58531
Eden Hazard,90,4,4,90,82,84,92,32,66,446,2138,LW,H\M,Chelsea,Belgium,Premier League,292286
De Gea,90,1,3,90,85,87,90,57,86,495,1084,GK,M\M,Manchester United,Spain,Premier League,134571
Gianluigi Buffon,89,1,2,89,88,74,84,49,90,474,980,GK,M\M,Juventus,Italy,Calcio A,42071
Giorgio Chiellini,89,2,2,74,46,56,60,90,85,411,1934,CB,L\H,Juventus,Italy,Calcio A,75643
Sergio Agüero,89,4,4,87,88,75,89,23,72,434,2105,ST,H\M,Manchester City,Argentina,Premier League,364571
Gareth Bale,89,4,3,94,87,84,86,57,76,484,2296,RW,H\M,Real Madrid,Wales,LaLiga Santander,372000
Luka Modrić,89,4,4,73,75,86,89,72,65,460,2260,CM,H\M,Real Madrid,Croatia,LaLiga Santander,78643
Alexis Sánchez,89,4,3,86,84,80,89,40,78,457,2207,LM,H\H,Arsenal,Chile,Premier League,138714
Thibaut Courtois,89,1,3,85,91,69,88,46,86,465,915,GK,M\M,Chelsea,Belgium,Premier League,60571
Kevin De Bruyne,89,4,5,75,84,88,85,45,75,452,2190,CAM,H\H,Manchester City,Belgium,Premier League,184714
Arjen Robben,88,4,2,86,86,81,90,32,63,438,2118,RM,H\L,FC Bayern München,Holland,Bundesliga,98786
Zlatan Ibrahimović,88,4,4,65,88,81,82,32,82,430,2107,ST,M\L,Manchester United,Sweden,Premier League,117000
Thiago Silva,88,3,3,72,56,73,74,88,79,442,2162,CB,H\H,Paris Saint-Germain,Brazil,Ligue 1 Conforama,69214
Hugo Lloris,88,1,1,88,86,68,90,65,82,479,965,GK,M\M,Tottenham Hotspur,France,Premier League,53321
Mesut Özil,88,4,2,71,74,87,86,24,58,400,1955,CAM,M\L,Arsenal,Germany,Premier League,39679
Mats Hummels,88,2,3,64,58,75,72,89,76,434,2087,CB,H\M,FC Bayern München,Germany,Bundesliga,44214
Diego Godín,88,2,3,65,48,65,64,88,78,408,1963,CB,M\H,Atlético Madrid,Uruguay,LaLiga Santander,19143
Jérôme Boateng,88,2,4,75,50,72,68,88,84,437,2030,CB,M\M,FC Bayern München,Germany,Bundesliga,101143
Leonardo Bonucci,88,2,3,68,54,70,71,87,81,431,2066,CB,L\H,Milan,Italy,Calcio A,34429
Pierre-Emerick Aubameyang,88,3,4,96,84,75,81,37,71,444,2114,ST,M\L,Borussia Dortmund,Gabon,Bundesliga,340857
Thiago,88,5,3,72,75,85,90,62,63,447,2222,CM,M\M,FC Bayern München,Spain,Bundesliga,55143
Antoine Griezmann,88,4,3,86,85,78,87,30,68,434,2127,ST,H\M,Atlético Madrid,France,LaLiga Santander,242429
Jan Oblak,88,1,3,84,90,77,84,43,87,465,923,GK,M\M,Atlético Madrid,Slovenia,LaLiga Santander,22929
Paulo Dybala,88,4,3,86,85,81,91,24,67,434,2121,CAM,H\M,Juventus,Argentina,Calcio A,313857
Iniesta,87,4,4,71,70,87,90,58,58,434,2117,CM,H\M,FC Barcelona,Spain,LaLiga Santander,23357
Piqué,87,2,3,65,61,69,66,86,76,423,2002,CB,H\M,FC Barcelona,Spain,LaLiga Santander,16393
Samir Handanovič,87,1,2,87,86,69,87,54,87,470,910,GK,M\M,Inter,Slovenia,Calcio A,18583
David Silva,87,4,2,68,72,87,87,38,61,413,2064,CAM,H\L,Manchester City,Spain,Premier League,34393
Ivan Rakitić,87,3,3,65,84,86,82,60,66,443,2159,CM,M\M,FC Barcelona,Croatia,LaLiga Santander,22250
Marek Hamšík,87,3,5,74,80,84,84,68,70,460,2222,CM,H\M,Napoli,Slovakia,Calcio A,49821
Marcelo,87,4,4,78,69,80,85,82,79,473,2258,LB,H\M,Real Madrid,Brazil,LaLiga Santander,46357
Edinson Cavani,87,3,3,77,83,72,80,42,81,435,2127,ST,H\H,Paris Saint-Germain,Uruguay,Ligue 1 Conforama,32714
Arturo Vidal,87,3,4,75,81,80,79,83,84,482,2348,CDM,H\H,FC Bayern München,Chile,Bundesliga,113143
Christian Eriksen,87,4,5,75,78,88,84,47,63,435,2108,CAM,H\M,Tottenham Hotspur,Denmark,Premier League,79857
