Name,Rating,SkillsMoves,WeakFoot,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Speed,Phyiscality/Positioning,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Lionel Messi,93,4,4,85,92,91,95,38,65,466,2273,RW,M\L,FC Barcelona,Argentina,LaLiga Santander,834750
Cristiano Ronaldo,92,5,4,89,93,81,89,35,77,464,2258,ST,H\L,Piemonte Calcio,Portugal,Serie A TIM,1689650
Kevin De Bruyne,91,4,5,76,86,93,88,64,78,485,2337,CAM,H\H,Manchester City,Belgium,Premier League,340278
Robert Lewandowski,91,4,4,78,91,78,86,43,82,458,2232,ST,H\M,FC Bayern,Poland,Bundesliga,182677
Neymar Jr,91,5,5,91,85,86,94,36,59,451,2209,LW,H\M,Paris SG,Brazil,Ligue 1 Conforama,1082452
Jan Oblak,91,1,3,87,92,78,90,50,90,487,1044,GK,M\M,Atlético de Madrid,Slovenia,LaLiga Santander,38603
Virgil van Dijk,90,2,3,76,60,71,72,91,86,456,2144,CB,M\M,Liverpool,Netherlands,Premier League,506361
Mohamed Salah,90,4,3,93,86,81,90,45,75,470,2237,RW,H\M,Liverpool,Egypt,Premier League,374333
Sadio Mané,90,4,4,94,85,80,90,44,76,469,2231,LW,H\M,Liverpool,Senegal,Premier League,421500
Alisson,90,1,3,86,88,85,89,52,91,491,1015,GK,M\M,Liverpool,Brazil,Premier League,86056
Kylian Mbappé,90,5,4,96,86,78,91,39,76,466,2189,ST,H\L,Paris SG,France,Ligue 1 Conforama,1416152
ter Stegen,90,1,4,88,85,88,90,43,88,482,1073,GK,M\M,FC Barcelona,Germany,LaLiga Santander,44830
Sergio Agüero,89,4,4,78,90,77,88,33,73,439,2150,ST,H\M,Manchester City,Argentina,Premier League,108485
Sergio Ramos,89,3,3,71,70,76,74,88,85,464,2300,CB,H\M,Real Madrid,Spain,LaLiga Santander,156813
Manuel Neuer,89,1,4,87,87,91,89,56,86,496,1145,GK,M\M,FC Bayern,Germany,Bundesliga,60320
Karim Benzema,89,4,4,74,85,81,87,40,76,443,2160,CF,M\L,Real Madrid,France,LaLiga Santander,29681
Casemiro,89,2,3,65,73,76,73,86,91,464,2237,CDM,H\H,Real Madrid,Brazil,LaLiga Santander,27213
Thibaut Courtois,89,1,3,84,89,74,88,46,85,466,971,GK,M\M,Real Madrid,Belgium,LaLiga Santander,47208
Harry Kane,88,3,4,68,91,80,81,47,83,450,2209,ST,H\H,Spurs,England,Premier League,30350
Raheem Sterling,88,4,3,93,81,79,90,45,67,455,2128,LW,H\M,Manchester City,England,Premier League,119000
Ederson,88,1,3,86,82,93,88,64,86,499,1169,GK,M\M,Manchester City,Brazil,Premier League,39638
N'Golo Kanté,88,2,3,77,66,76,81,86,82,468,2200,CDM,M\H,Chelsea,France,Premier League,365341
Joshua Kimmich,88,3,4,71,72,86,84,81,79,473,2294,CDM,H\M,FC Bayern,Germany,Bundesliga,53524
Toni Kroos,88,3,5,54,81,91,81,71,69,447,2187,CM,M\M,Real Madrid,Germany,LaLiga Santander,16663
Eden Hazard,88,4,4,88,82,83,92,35,66,446,2150,LW,H\M,Real Madrid,Belgium,LaLiga Santander,131841
Paulo Dybala,88,4,3,85,85,84,91,43,63,451,2212,CF,M\M,Piemonte Calcio,Argentina,Serie A TIM,100663
Samir Handanovic,88,1,3,88,85,73,89,53,89,477,962,GK,M\M,Inter,Slovenia,Serie A TIM,16344
Kalidou Koulibaly,88,2,3,75,28,55,69,89,86,402,1773,CB,M\H,Napoli,Senegal,Serie A TIM,73042
Luka Modric,87,4,4,73,76,89,88,71,66,463,2292,CM,H\M,Real Madrid,Croatia,LaLiga Santander,19620
Ciro Immobile,87,3,4,84,88,67,83,39,77,438,2096,ST,H\M,Lazio,Italy,Serie A TIM,31185
Aubameyang,87,4,4,93,86,75,81,38,69,442,2112,ST,H\H,Arsenal,Gabon,Premier League,316682
Bruno Fernandes,87,4,4,77,83,88,85,68,75,476,2326,CAM,H\H,Manchester Utd,Portugal,Premier League,175944
Ángel Di María,87,5,2,83,81,85,87,48,68,452,2203,RW,H\M,Paris SG,Argentina,Ligue 1 Conforama,11989
Jadon Sancho,87,5,3,83,74,81,91,37,64,430,2015,RM,H\M,Dortmund,England,Bundesliga,34404
Heung Min Son,87,4,5,88,86,80,87,43,69,453,2162,LM,H\H,Spurs,Korea Republic,Premier League,276915
Trent Alexander-Arnold,87,3,4,80,66,87,80,80,71,464,2245,RB,H\M,Liverpool,England,Premier League,49152
Antoine Griezmann,87,4,3,79,85,84,88,57,72,465,2314,ST,M\M,FC Barcelona,France,LaLiga Santander,99486
Aymeric Laporte,87,2,3,63,50,72,69,88,81,423,2025,CB,M\M,Manchester City,France,Premier League,25026
Wojciech Szczesny,87,1,3,86,82,73,88,49,87,465,966,GK,M\M,Piemonte Calcio,Poland,Serie A TIM,10558
Roberto Firmino,87,5,4,77,80,81,90,61,78,467,2252,CF,H\H,Liverpool,Brazil,Premier League,98111
Bernardo Silva,87,4,3,81,77,83,92,51,67,451,2157,RW,H\H,Manchester City,Portugal,Premier League,17388
Andrew Robertson,87,3,2,83,62,80,80,81,76,462,2160,LB,H\H,Liverpool,Scotland,Premier League,55094
Fabinho,87,3,2,67,69,79,77,85,83,460,2208,CDM,M\H,Liverpool,Brazil,Premier League,49357
Keylor Navas,87,1,3,90,81,75,90,54,82,472,1029,GK,M\M,Paris SG,Costa Rica,Ligue 1 Conforama,10316
Sergio Busquets,87,3,3,42,62,80,81,83,77,425,2066,CDM,M\M,FC Barcelona,Spain,LaLiga Santander,11393
Giorgio Chiellini,87,2,3,66,46,58,62,90,79,401,1899,CB,M\H,Piemonte Calcio,Italy,Serie A TIM,11922
Hugo Lloris,87,1,1,89,82,68,90,64,84,477,1013,GK,M\M,Spurs,France,Premier League,33583
Luis Suárez,87,3,4,70,90,82,83,51,83,459,2248,ST,H\M,Atlético de Madrid,Uruguay,LaLiga Santander,29615
Thomas Müller,86,3,4,68,82,82,78,56,71,437,2149,CAM,H\H,FC Bayern,Germany,Bundesliga,7936
Jamie Vardy,86,3,3,88,85,66,79,55,75,448,2143,ST,H\H,Leicester City,England,Premier League,94338
Paul Pogba,86,5,4,73,81,86,85,66,85,476,2302,CM,H\M,Manchester Utd,France,Premier League,202778
Marco Verratti,86,4,4,64,60,85,90,79,67,445,2198,CM,M\H,Paris SG,Italy,Ligue 1 Conforama,7500
Piqué,86,2,3,57,61,71,69,86,80,424,2021,CB,H\M,FC Barcelona,Spain,LaLiga Santander,8750
Alejandro Gómez,86,4,4,90,79,84,88,39,55,435,2104,CAM,H\M,Atalanta,Argentina,Serie A TIM,69966
Jordan Henderson,86,3,3,65,74,84,79,81,82,465,2253,CDM,H\H,Liverpool,England,Premier League,17167
Carvajal,86,3,3,80,54,78,81,82,80,455,2150,RB,H\H,Real Madrid,Spain,LaLiga Santander,14773
Mats Hummels,86,3,3,58,58,77,73,89,77,432,2087,CB,H\H,Dortmund,Germany,Bundesliga,8259
David Silva,86,4,2,64,74,88,88,52,55,421,2106,CAM,H\M,Real Sociedad,Spain,LaLiga Santander,7796
De Gea,86,1,3,88,81,78,89,57,82,475,1096,GK,M\M,Manchester Utd,Spain,Premier League,23730
Raphaël Varane,86,2,3,82,49,64,65,87,82,429,1966,CB,M\H,Real Madrid,France,LaLiga Santander,257432
Jordi Alba,86,3,3,88,69,81,83,78,72,471,2244,LB,H\M,FC Barcelona,Spain,LaLiga Santander,35781
Yann Sommer,86,1,4,80,86,85,85,50,87,473,1000,GK,M\M,M'gladbach,Switzerland,Bundesliga,7305
Serge Gnabry,85,4,4,82,83,78,85,43,70,441,2101,RM,H\M,FC Bayern,Germany,Bundesliga,20492
Marquinhos,85,3,3,72,41,73,71,87,78,422,2001,CB,M\H,Paris SG,Brazil,Ligue 1 Conforama,16190
Romelu Lukaku,85,3,4,81,83,76,75,38,84,437,2048,ST,M\M,Inter,Belgium,Serie A TIM,11989
Kai Havertz,85,4,4,84,81,79,85,45,67,441,2095,CAM,M\M,Chelsea,Germany,Premier League,109740
Luis Alberto,85,4,3,74,76,86,85,58,59,438,2083,CAM,M\M,Lazio,Spain,Serie A TIM,5116
Riyad Mahrez,85,5,4,83,79,81,90,38,59,430,2064,RW,M\M,Manchester City,Algeria,Premier League,36152
Memphis Depay,85,5,3,86,83,81,83,32,80,445,2123,CF,H\L,OL,Netherlands,Ligue 1 Conforama,28817
Gianluigi Donnarumma,85,1,3,89,81,76,89,49,83,467,980,GK,M\M,Milan,Italy,Serie A TIM,5945
Hakim Ziyech,85,5,2,80,76,87,83,50,66,442,2124,CAM,H\H,Chelsea,Morocco,Premier League,47651
Marco Reus,85,4,4,80,86,84,85,45,63,443,2171,CAM,H\M,Dortmund,Germany,Bundesliga,72956
Timo Werner,85,3,4,91,85,69,84,35,71,435,2058,ST,H\M,Chelsea,Germany,Premier League,262468
Sergej Milinkovic-Savic,85,4,4,69,79,80,83,79,85,475,2262,CM,H\M,Lazio,Serbia,Serie A TIM,6955
Georginio Wijnaldum,85,4,4,76,75,81,86,78,79,475,2299,CM,H\H,Liverpool,Netherlands,Premier League,81561
Matthijs de Ligt,85,2,4,72,59,66,69,85,84,435,2014,CB,M\H,Piemonte Calcio,Netherlands,Serie A TIM,34617
Thiago Silva,85,2,3,59,54,72,72,86,78,421,2078,CB,M\H,Chelsea,Brazil,Premier League,6718
Ricardo Pereira,85,3,4,83,66,79,82,81,76,467,2207,RB,H\H,Leicester City,Portugal,Premier League,16813
Lorenzo Insigne,85,4,4,88,78,83,91,36,44,420,2039,LW,H\M,Napoli,Italy,Serie A TIM,31857
Miralem Pjanic,85,3,4,67,68,87,85,75,67,449,2225,CM,M\M,FC Barcelona,Bosnia and Herzegovina,LaLiga Santander,5121
Marcus Rashford,85,5,4,91,83,78,85,45,78,460,2178,LM,H\M,Manchester Utd,England,Premier League,174839
Leroy Sané,85,4,3,93,81,79,85,38,67,443,2114,LM,H\M,FC Bayern,Germany,Bundesliga,111100
Parejo,85,3,4,50,83,90,81,71,69,444,2207,CM,M\M,Villarreal CF,Spain,LaLiga Santander,5115
Milan Škriniar,85,2,4,69,41,59,66,87,81,403,1839,CB,M\H,Inter,Slovakia,Serie A TIM,5241
Koke,85,3,4,67,75,85,81,76,80,464,2235,CM,H\H,Atlético de Madrid,Spain,LaLiga Santander,5063
Dries Mertens,85,4,4,86,82,80,89,35,51,423,2065,CF,H\L,Napoli,Belgium,Serie A TIM,76951
Bernd Leno,85,1,3,85,83,80,86,55,84,473,1020,GK,M\M,Arsenal,Germany,Premier League,9984
Clément Lenglet,85,2,4,74,45,67,66,87,81,420,1964,CB,M\H,FC Barcelona,France,LaLiga Santander,89613
Leonardo Bonucci,85,2,4,60,58,69,71,87,77,422,2040,CB,M\H,Piemonte Calcio,Italy,Serie A TIM,5153
Frenkie de Jong,85,4,3,80,64,84,87,76,77,468,2226,CM,M\H,FC Barcelona,Netherlands,LaLiga Santander,81988
Rodrigo,85,3,4,65,68,77,77,82,80,449,2131,CDM,M\H,Manchester City,Spain,Premier League,7624
Péter Gulácsi,85,1,2,84,85,82,86,43,84,464,939,GK,M\M,RB Leipzig,Hungary,Bundesliga,4768
Toby Alderweireld,85,2,3,63,55,72,68,87,79,424,2051,CB,M\M,Spurs,Belgium,Premier League,7473
Mauro Icardi,85,3,4,73,85,65,78,36,68,405,1986,ST,M\M,Paris SG,Argentina,Ligue 1 Conforama,4800
Kyle Walker,85,3,2,92,63,76,77,80,82,470,2207,RB,H\H,Manchester City,England,Premier League,91982
Alex Sandro,85,3,3,81,65,77,80,81,81,465,2218,LB,H\M,Piemonte Calcio,Brazil,Serie A TIM,19545
Christian Eriksen,85,4,5,72,81,88,82,53,63,439,2133,CAM,H\H,Inter,Denmark,Serie A TIM,9832
Diego Godín,85,2,3,57,48,64,62,87,79,397,1906,CB,M\H,Cagliari,Uruguay,Serie A TIM,5164
Thiago,85,5,3,64,72,85,90,70,62,443,2219,CM,M\M,Liverpool,Spain,Premier League,29906
Erling Haaland,84,3,3,84,87,63,76,43,85,438,2058,ST,H\H,Dortmund,Norway,Bundesliga,102098
Wissam Ben Yedder,84,4,5,84,83,77,87,39,63,433,2122,ST,H\H,AS Monaco,France,Ligue 1 Conforama,155456
Josip Ilicic,84,4,4,70,86,84,85,43,68,436,2074,CF,M\M,Atalanta,Slovenia,Serie A TIM,2829
Felipe,84,2,3,62,41,58,62,86,86,395,1847,CB,M\H,Atlético de Madrid,Brazil,LaLiga Santander,4841
Fernandinho,84,3,4,64,72,78,78,85,79,456,2225,CB,M\H,Manchester City,Brazil,Premier League,6782
David Alaba,84,3,4,77,70,81,80,83,76,467,2281,CB,M\M,FC Bayern,Austria,Bundesliga,44258
Stefan de Vrij,84,2,4,68,41,62,69,86,75,401,1853,CB,M\H,Inter,Netherlands,Serie A TIM,4876
Kingsley Coman,84,4,3,93,76,77,87,29,59,421,2002,LM,M\L,FC Bayern,France,Bundesliga,24710
Oyarzabal,84,3,3,81,82,80,83,41,63,430,2064,LW,H\M,Real Sociedad,Spain,LaLiga Santander,3352
Guerreiro,84,4,2,74,78,84,87,73,57,453,2189,LM,M\M,Dortmund,Portugal,Bundesliga,3158
Pizzi,84,3,4,75,78,83,83,65,68,452,2190,RM,H\M,SL Benfica,Portugal,Liga NOS (POR 1),3580
Grimaldo,84,3,2,85,65,79,84,77,71,461,2216,LB,H\M,SL Benfica,Spain,Liga NOS (POR 1),3540
Jesús Navas,84,4,2,87,69,79,83,80,58,456,2196,RB,H\M,Sevilla FC,Spain,LaLiga Santander,10415
Azpilicueta,84,2,3,67,55,77,72,84,76,431,2110,RB,M\M,Chelsea,Spain,Premier League,4504
Nicolás Tagliafico,84,3,2,82,56,73,76,82,79,448,2115,LB,H\H,Ajax,Argentina,Eredivisie (NED 1),3868
Alex Telles,84,3,2,85,74,83,80,79,76,477,2300,LB,H\H,FC Porto,Brazil,Liga NOS (POR 1),10646
Lucas Digne,84,3,2,78,69,80,79,80,76,462,2247,LB,H\M,Everton,France,Premier League,5432
Salvatore Sirigu,84,1,2,84,80,76,82,50,84,456,916,GK,M\M,Torino,Italy,Serie A TIM,2715
André Onana,84,1,3,84,80,87,86,63,82,482,1100,GK,M\M,Ajax,Cameroon,Eredivisie (NED 1),2748
Rui Patrício,84,1,2,84,80,77,83,55,82,461,1035,GK,M\M,Wolves,Portugal,Premier League,3343
Kasper Schmeichel,84,1,3,82,77,83,89,53,79,463,1023,GK,M\M,Leicester City,Denmark,Premier League,3479
Roman Bürki,84,1,2,85,82,72,88,46,82,455,935,GK,M\M,Dortmund,Switzerland,Bundesliga,2700
Iago Aspas,84,3,4,82,85,77,86,35,63,428,2080,ST,H\H,RC Celta,Spain,LaLiga Santander,5867
Thomas Partey,84,3,3,71,74,81,81,82,85,474,2229,CM,M\H,Atlético de Madrid,Ghana,LaLiga Santander,23444
Isco,84,4,3,68,75,82,89,59,59,432,2114,CAM,M\L,Real Madrid,Spain,LaLiga Santander,3641
Idrissa Gueye,84,3,3,69,61,71,78,85,79,443,2122,CDM,M\H,Paris SG,Senegal,Ligue 1 Conforama,2945
Lautaro Martínez,84,4,4,83,82,71,85,48,82,451,2150,ST,H\M,Inter,Argentina,Serie A TIM,30186
Marcelo Brozovic,84,3,4,63,74,80,81,79,78,455,2208,CDM,M\H,Inter,Croatia,Serie A TIM,3370
Julian Brandt,84,4,4,81,78,82,86,51,66,444,2106,CAM,H\M,Dortmund,Germany,Bundesliga,13152
Axel Witsel,84,4,4,63,73,81,80,82,82,461,2248,CDM,M\M,Dortmund,Belgium,Bundesliga,3288
Raúl Jiménez,84,3,4,78,82,76,82,49,83,450,2146,ST,H\H,Wolves,Mexico,Premier League,6013
Douglas Costa,84,5,3,93,73,79,90,43,59,437,2096,LM,H\M,Piemonte Calcio,Brazil,Serie A TIM,42809
Niklas Süle,84,2,3,69,42,59,51,85,81,387,1714,CB,M\M,FC Bayern,Germany,Bundesliga,5038
Anthony Martial,84,4,3,89,83,74,87,41,72,446,2095,ST,M\M,Manchester Utd,France,Premier League,170059
Leon Goretzka,84,3,4,78,78,80,82,77,82,477,2276,CM,H\M,FC Bayern,Germany,Bundesliga,55122
Lucas Pezzini Leiva,84,3,3,60,66,76,78,83,71,434,2131,CDM,M\H,Lazio,Brazil,Serie A TIM,3891
Jesús Corona,84,4,5,84,68,78,88,77,60,455,2223,RM,H\M,FC Porto,Mexico,Liga NOS (POR 1),3871
Saúl Ñíguez Esclápez,84,3,4,68,79,79,81,78,79,464,2245,CM,H\H,Atlético de Madrid,Spain,LaLiga Santander,3762
José María Giménez,84,2,3,67,45,53,56,86,83,390,1784,CB,M\H,Atlético de Madrid,Uruguay,LaLiga Santander,4292
Wilfred Ndidi,84,3,4,71,62,68,74,87,84,446,2146,CDM,M\H,Leicester City,Nigeria,Premier League,25250
Arthur Henrique Ramos Oliveira Melo,84,4,3,66,73,82,87,75,71,454,2198,CM,M\M,Piemonte Calcio,Brazil,Serie A TIM,3705
Alex Telles,84,3,2,85,74,83,80,79,76,477,2300,LB,H\H,Manchester Utd,Brazil,Premier League,20000
Thomas Partey,84,3,3,71,74,81,81,82,85,474,2229,CM,M\H,Arsenal,Ghana,Premier League,40000
Douglas Costa,84,5,3,93,73,79,90,43,59,437,2096,LM,H\M,FC Bayern,Brazil,Bundesliga,50237
Callejón José,84,3,3,88,78,75,83,47,63,434,2064,RM,H\H,Fiorentina,Spain,Serie A TIM,5580
Bernat,83,4,3,81,64,79,83,76,67,450,2148,LB,H\M,Paris SG,Spain,Ligue 1 Conforama,2265
Lopes,83,1,2,85,80,74,86,63,80,468,1045,GK,M\M,OL,Portugal,Ligue 1 Conforama,1829
Steve Mandanda,83,1,3,81,81,78,84,49,81,454,946,GK,M\M,OM,France,Ligue 1 Conforama,1396
João Cancelo,83,4,3,86,65,79,83,77,71,461,2197,RB,H\M,Manchester City,Portugal,Premier League,16200
Marcelo,83,5,4,79,73,80,88,76,76,472,2255,LB,H\L,Real Madrid,Brazil,LaLiga Santander,3824
Ferland Mendy,83,4,5,92,64,76,79,78,82,471,2168,LB,H\H,Real Madrid,France,LaLiga Santander,102383
Kieran Trippier,83,3,4,73,60,81,77,79,72,442,2186,RB,H\M,Atlético de Madrid,England,LaLiga Santander,2468
Aaron Wan-Bissaka,83,4,2,86,51,68,80,82,74,441,2044,RB,M\H,Manchester Utd,England,Premier League,28250
Joe Gomez,83,3,3,82,30,66,70,83,80,411,1849,CB,M\M,Liverpool,England,Premier League,102596
Joel Matip,83,2,2,60,46,68,68,85,78,405,1896,CB,M\M,Liverpool,Cameroon,Premier League,3462
Dele Alli,83,4,3,72,80,79,83,71,79,464,2236,CAM,H\H,Spurs,England,Premier League,7450
Steven Bergwijn,83,4,2,87,79,78,85,39,73,441,2062,LM,H\M,Spurs,Netherlands,Premier League,18154
Gabriel Jesus,83,4,3,85,82,72,87,42,72,440,2107,ST,H\H,Manchester City,Brazil,Premier League,66742
Ilkay Gündogan,83,4,4,66,74,84,84,72,71,451,2199,CM,H\M,Manchester City,Germany,Premier League,2986
Federico Valverde,83,3,3,86,74,78,80,77,80,475,2210,CM,H\H,Real Madrid,Uruguay,LaLiga Santander,64224
Lucas,83,4,4,92,78,72,87,43,67,439,2122,RM,H\M,Spurs,Brazil,Premier League,81587
Alessio Romagnoli,83,2,3,70,40,56,70,85,78,399,1806,CB,M\H,Milan,Italy,Serie A TIM,3873
Zlatan Ibrahimovic,83,5,4,52,88,77,79,34,77,407,2027,ST,M\L,Milan,Sweden,Serie A TIM,1365
Luiz Frello Filho Jorge,83,3,3,55,65,84,80,72,73,429,2136,CM,M\M,Chelsea,Italy,Premier League,3085
